Country Name,Country Code,Country Code.1,Region,Income Group,Sub-Region,INFORM: Hazard & Exposure risk score,INFORM: Vulnerability risk score,INFORM: Lack of Coping Capacity risk score,INFORM: Epidemic risk score,INFORM: Epidemic risk class,Death by communicable diseases (% of total),Diabetes prevalence (% of population ages 20 to 79),"Employment in agriculture, female (%)","Employment in agriculture, male (%)","Employment in industry, female (%)","Employment in industry, male (%)","Employment in services, female (%)","Employment in services, male (%)",Fixed broadband subscriptions (# per 100 people),Fixed telephone subscriptions (# per 100 people),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"GNI, PPP (current international $)","GNI per capita, PPP (current international $)","Labor force, total (#)",Mobile subscriptions (# per 100 people),Net migration (#),Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Urban population (%),"Population, total (#)",Refugee population by country of asylum (#),"Wage and salaried workers, female (%)","Wage and salaried workers, male (%)",Handwashing with soap (%),Government health expenditure (%),Hospital bed density (#),"Medical doctors (# per 10,000)",Medical doctors (#),"Nursing and midwife personnel (# per 10,000)",Nurses (#),Policies to implement IHR (score out of 100),Financing to implement IHR (score out of 100),Financing to respond to health emergencies (score out of 100),IHR coordination (score out of 100),Lab testing access (score out of 100),Early warning surveillance (score out of 100),Mechanism for event management (score out of 100),Human Resources to implement IHR (score out of 100),Emergency preparedness planning (score out of 100),Management of health emergency response (score out of 100),Emergency resource mobilization (score out of 100),IHR case management (score out of 100),Infection prevention and control (score out of 100),Access to essential health services (score out of 100),Risk communication capacity (score out of 100),Transportation capacity (score out of 100),Health response at points of entry (score out of 100),Detection resources and alert (score out of 100),People affected by Natural Disasters.1,People affected by Natural Disasters.2,Humanitarian Aid (FTS).1,INFORM: Region Hazard & Exposure risk score,INFORM: Region Vulnerability risk score,INFORM: Region Lack of Coping Capacity risk score,INFORM: Region Epidemic risk score,INFORM: Income Group Hazard & Exposure risk score,INFORM: Income Group Vulnerability risk score,INFORM: Income Group Lack of Coping Capacity risk score,INFORM: Income Group Epidemic risk score,INFORM: Hazard & Exposure risk class,INFORM: Vulnerability risk class,INFORM: Lack of Coping Capacity risk class
Iraq,IRQ,IRQ,Middle East & North Africa,Upper middle income,Western Asia,4.3,5.8,4.6,4.9,Medium,16.8,8.8,17.48999977,18.17300034,19.79299974,23.70400047,71.65399933,58.12400055,11.68854336,7.038185338,-0.5627455029999999,5834.166211,-2.841642694,661000000000.0,17210,10475789,95.04015497,39171,38.386565399999995,58.28983494,3.323599663,25.14999735,38433600,283022,90.51799774,76.03700256,94,6.46,14,7.079,27208,20.448,78588,60,40,20,60,80,20,20,100,80,80,100,100,100,40,100,40,60,0,25000,5865,22241.21,4.500000000000001,4.6049999999999995,3.7050000000000005,4.154999999999999,3.75,4.3625,3.910416666666666,3.9395833333333345,Medium,High,Medium
Ireland,IRL,IRL,Europe & Central Asia,High income: OECD,Northern Europe,3.1,3.1,2.6,2.9,Low,5.1,3.2,1.394000053,7.360000134,10.6099996,27.50600052,90.25900269,65.13400269,29.679435700000003,37.95981895,8.169870933,78806.432,7.142041132,325000000000.0,67050,2394545,103.17104859999999,118020,21.40641959,64.72777871,13.865801699999999,39.18596459,4867309,6041,92.18000031,79.09300232,91,13.44,28,33.125,15962,160.996,58475,60,40,20,60,100,80,80,60,80,80,60,40,60,100,60,0,0,60,0,0,-0.61,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Low,Low,Low
Israel,ISR,ISR,Middle East & North Africa,High income: OECD,Western Asia,4.1,3.5,1.6,2.8,Low,10.0,9.7,0.495000005,1.312000036,8.267999947,25.29700089,91.72799683,73.39099884,28.75374813,38.17925063,3.453702518,41715.02928,1.4681944830000002,355000000000.0,39940,4164651,127.66186929999999,50002,27.92524646,60.09776752,11.97698602,48.85340606,8882800,18569,90.73300171,84.85800171,100,11.57,31,46.248999999999995,38764,3.303,0,100,100,80,100,100,60,100,80,100,100,100,100,100,100,100,0,20,100,0,0,0.0,4.500000000000001,4.6049999999999995,3.7050000000000005,4.154999999999999,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Medium,Medium,Very Low
Italy,ITA,ITA,Europe & Central Asia,High income: OECD,Southern Europe,2.8,5.1,1.9,3.0,Low,4.9,5.0,2.322999954,4.676000118,16.86599994,35.3219986,84.78399658,60.0019989,28.13997577,33.64260989,0.774340013,34483.204,0.950146897,2560000000000.0,42290,25964342,137.466947,744713,13.32911609,63.91920431,22.7516796,9.889705275,60421760,189243,83.08699799,72.70600128,99,13.65,34,39.774,241136,57.401,332182,100,80,80,80,100,100,80,80,100,100,100,100,80,100,60,80,80,60,2551,1412,48.24,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Low,High,Very Low
Jamaica,JAM,JAM,Latin America & Caribbean,Upper middle income,Caribbean,3.8,4.1,3.0,3.6,Medium,11.2,11.3,8.557999611,21.85300064,35.77300012,24.33200073,85.43399811,53.81499863,9.702584155,12.39655764,1.9408781469999998,5354.236859000001,1.454524928,26124741589.0,8900,1488294,101.0265271,-56658,23.75009668,67.45326077,8.796642551,36.05267233,2934855,15,66.95600128,55.6609993,87,8.08,17,13.061,3815,8.068,2368,100,60,100,100,80,80,80,60,80,80,80,80,60,80,100,100,100,80,0,0,0.0,3.774074074074074,4.633333333333334,3.955555555555555,4.055555555555555,3.75,4.3625,3.910416666666666,3.9395833333333345,Medium,Medium,Low
Japan,JPN,JPN,East Asia & Pacific,High income: OECD,Eastern Asia,3.2,4.1,1.5,2.7,Low,12.7,5.6,2.941999912,3.802999973,8.306999922000001,32.37099838,83.06199646,63.82600021,32.62230968,49.94073766,0.7884558759999999,39289.95843,0.992931322,5620000000000.0,44380,68048596,141.4069924,357800,12.69684881,59.72678128,27.57636991,32.32230081,126529100,1895,91.36599731,88.54599762,100,20.28,134,24.115,308105,121.531,1545907,100,100,100,100,100,100,100,80,100,100,100,100,100,100,60,100,100,100,1599497,538220,8.0,4.1000000000000005,4.3,3.763636363636363,3.9454545454545453,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Low,Medium,Very Low
Jordan,JOR,JOR,Middle East & North Africa,Upper middle income,Western Asia,4.7,5.4,4.8,5.0,High,10.7,12.7,0.952000022,3.499000072,9.201999754,26.73500061,85.94599915,69.76599884,4.009867021,3.7042972439999997,1.940292205,4241.788782,0.129635568,93926407709.0,9430,2637759,87.62148885,51099,34.24549021,61.90801939,3.8464903980000003,22.79321682,9956011,2950529,96.63600159,82.71800232,97,13.68,14,23.237,22739,28.212,28114,100,20,40,60,60,60,20,20,20,60,40,40,80,80,20,80,80,20,64,0,14736.99,4.500000000000001,4.6049999999999995,3.7050000000000005,4.154999999999999,3.75,4.3625,3.910416666666666,3.9395833333333345,Medium,High,Medium
Kazakhstan,KAZ,KAZ,Europe & Central Asia,Upper middle income,Central Asia,2.6,3.5,3.3,3.1,Low,4.5,6.1,14.29399967,17.17700005,23.15400092,28.87100029,74.47299957,53.95199966,13.44405762,18.29132027,4.1,9812.601137,2.7402721710000004,447000000000.0,24450,9031232,142.2824428,-90000,28.46054978,64.14760395,7.391846271,17.42601918,18272430,574,76.27500153,74.57199859999999,98,10.9,67,39.8,68864,72.936,118693,80,80,80,100,80,80,80,80,80,80,100,80,100,100,80,80,80,80,400,0,0.0,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.75,4.3625,3.910416666666666,3.9395833333333345,Low,Medium,Low
Kenya,KEN,KEN,Sub-Saharan Africa,Low income,Eastern Africa,6.1,5.7,6.3,6.0,High,63.3,3.1,60.5320015,48.59700012,51.30000019,12.40499973,37.46699905,38.9980011,0.7228633170000001,0.127730538,6.319781364,1710.5100969999999,3.896152981,177000000000.0,3440,23878817,96.32021675,-50000,39.78216693,57.87864645,2.3391866119999998,31.57213557,51393010,421248,40.13600159,56.412998200000004,29,12.8,14,1.565,8042,11.655999999999999,59901,60,40,20,0,80,80,20,20,20,60,20,40,40,40,40,60,40,40,211188,2747967,4530.67,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,High,High,High
Kuwait,KWT,KWT,Middle East & North Africa,High income: nonOECD,Western Asia,4.9,3.7,4.1,4.2,Medium,14.8,12.2,0.028999999,2.644000053,1.083000006,31.09799957,96.62000275,66.25800323,2.509382904,12.460795800000001,1.246015947,33994.40657,-0.7413607390000001,349000000000.0,84250,2424534,171.6053322,197600,21.53888805,75.91063957,2.550472384,72.25155288,4137309,673,99.39800262,97.85099792,100,5.77,20,26.463,10150,74.145,30676,60,80,80,100,100,60,80,60,60,80,80,60,80,60,80,80,80,80,0,0,-73.09,4.500000000000001,4.6049999999999995,3.7050000000000005,4.154999999999999,,,,,Medium,Medium,Medium
Kyrgyzstan,KGZ,KGZ,Europe & Central Asia,Low income,Central Asia,3.6,3.9,4.4,4.0,Medium,9.6,6.1,20.20700073,21.76300049,33.78899908,30.18099976,65.71299744,48.05599976,5.641470615,5.252830332,3.5,1281.3636609999999,1.572833212,23904185741.0,3780,2586494,138.56606010000002,-20000,32.35041711,63.15485491,4.494727976,43.39640639,6322800,333,71.10199738,60.64400101,97,11.92,45,22.13,12934,59.445,32440,60,40,60,60,60,80,80,20,40,80,60,40,20,60,40,20,40,40,0,0,4.26,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,Medium,Medium,Medium
Lao PDR,LAO,LAO,East Asia & Pacific,Lower middle income,South-Eastern Asia,4.6,4.7,6.2,5.1,High,31.4,6.4,64.27999878,60.63199997,80.05400085,14.83600044,26.88199997,24.53199959,0.642624867,20.99093012,6.247960008,2542.486528,4.61588222,50083273955.0,7090,3809128,51.86337704,-73518,32.60391868,63.32093135,4.0751499639999995,26.89341009,7061507,2,12.49100018,26.02199936,74,3.44,15,3.7260000000000004,2591,9.522,6724,60,40,40,40,20,80,80,20,40,60,40,20,20,20,40,0,0,20,748245,309176,169.8,4.1000000000000005,4.3,3.763636363636363,3.9454545454545453,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,Medium,Medium,High
Latvia,LVA,LVA,Europe & Central Asia,High income: nonOECD,Northern Europe,2.4,3.9,2.6,2.9,Low,2.7,5.0,3.90899992,9.640999793999999,7.142999858,34.76300049,83.20099640000001,55.59600067,27.27540487,13.80449364,4.62077695,17860.6172,5.473690576,57379060710.0,29780,985032,107.3489247,-74186,15.99577694,63.96060274,20.04362032,48.529613399999995,1927174,670,90.41000366,86.74099731,92,9.81,58,31.905,6225,47.516999999999996,8872,100,80,60,100,100,80,80,80,100,80,80,80,80,100,60,80,80,60,0,0,0.15,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,,,,,Low,Medium,Low
Lebanon,LBN,LBN,Middle East & North Africa,Upper middle income,Western Asia,4.6,6.0,4.3,4.9,Medium,3.6,11.2,14.31099987,13.39299965,26.88199925,24.981000899999998,71.44200134,61.6269989,0.136965173,13.02632822,0.19999063600000003,8269.787676,-0.34208130200000003,89094811433.0,13010,2399073,64.49805872,-150060,26.09586717,66.9017647,7.002368134,39.31116534,6848925,1424592,84.23300171,57.48799896,98,10.72,29,21.038,14431,16.735,10379,60,60,60,60,80,100,80,40,60,60,60,80,80,100,80,60,60,60,0,11009,23669.61,4.500000000000001,4.6049999999999995,3.7050000000000005,4.154999999999999,3.75,4.3625,3.910416666666666,3.9395833333333345,Medium,High,Medium
Lesotho,LSO,LSO,Sub-Saharan Africa,Lower middle income,Southern Africa,5.2,5.5,6.8,5.8,High,59.3,4.5,2.921999931,12.77900028,16.31000018,50.5530014,65.8789978,36.66799927,0.273344565,0.395004952,1.134188171,1299.153126,0.332073491,7750817046.0,3680,974814,113.83051869999998,-50234,32.71635154,62.38256097,4.901087497,0.0,2108132,57,80.36000061,85.43199921,43,13.08,13,0.6920000000000001,138,32.567,6866,40,40,0,0,80,60,20,20,20,0,40,0,40,40,20,40,20,0,0,433000,151.88,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,High,High,Very High
Liberia,LBR,LBR,Sub-Saharan Africa,Low income,Western Africa,6.8,6.3,6.7,6.6,Very High,58.5,2.4,41.49000168,44.90200043,77.19799995,15.03800011,53.57099915,40.06000137,0.191398712,0.174414029,1.2225513129999999,677.3221785000001,-1.229759965,5461943836.0,1130,2232214,56.56895266,-25000,41.12498659,55.62158161,3.2534318,57.53857575,4818977,9122,8.965000153,32.53900146,17,11.86,8,0.376,168,5.321000000000001,2564,40,40,40,60,60,80,80,40,20,100,20,20,40,40,60,60,60,20,0,0,36.16,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,Very High,High,Very High
Libya,LBY,LBY,Middle East & North Africa,Upper middle income,Northern Africa,3.0,4.9,6.4,4.5,Medium,8.0,10.2,21.94499969,17.50499916,5.723000109,26.71800041,66.54699707,55.77700043,4.832295048,23.94873269,7.949736797999999,7241.704481000001,6.368240932999999,143000000000.0,21340,2422193,91.47929620000001,-9997,28.31923773,67.28872201,4.392040259,21.64146322,6678567,8794,95.20800018,92.23200226,100,4.93,37,20.905,13757,65.305,41934,100,60,60,100,60,80,60,80,20,20,20,80,20,60,20,40,20,20,0,20030,2836.26,4.500000000000001,4.6049999999999995,3.7050000000000005,4.154999999999999,3.75,4.3625,3.910416666666666,3.9395833333333345,Low,Medium,High
Lithuania,LTU,LTU,Europe & Central Asia,High income: nonOECD,Northern Europe,2.4,3.1,2.1,2.5,Low,3.6,3.8,4.458000183,9.303999901000001,9.152000487,35.41099929999999,79.05500031,55.28499985,28.15668213,15.245474900000001,3.6447565319999997,19153.40899,5.088966615,95743837672.0,34320,1452952,163.8703457,-163902,14.88242451,65.41254234,19.70503316,28.39382646,2801543,1734,90.97000122,85.94999695,93,13.36,73,63.528,17796,98.47200000000001,26438,100,80,80,100,40,80,80,80,100,100,80,100,100,100,60,80,60,80,0,0,0.0,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,,,,,Low,Low,Low
Luxembourg,LUX,LUX,Europe & Central Asia,High income: OECD,Western Europe,3.8,3.1,1.9,2.8,Low,4.9,5.0,0.467999995,1.457999945,5.61499989,18.073999399999998,95.42500305,80.46800232,37.12070435,45.2680618,3.110836266,116639.888,1.178000117,43877541657.0,72200,307314,132.1649331,48704,15.87882399,69.93802183,14.18315418,0.0,607950,2046,92.6269989,90.48899841,98,13.64,48,30.09,1781,121.744,6992,100,100,100,100,100,100,80,100,100,100,80,100,100,100,100,100,100,80,0,1519,-11.93,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Medium,Low,Very Low
Madagascar,MDG,MDG,Sub-Saharan Africa,Low income,Eastern Africa,6.8,5.4,7.3,6.4,High,46.2,4.5,60.42200089,67.85099792,85.07600021,9.378000259,31.00099945,22.77099991,0.10361235099999999,0.262909059,4.564792315,527.5012849999999,1.810248204,48242225997.0,1840,13851805,40.57034123,-7500,40.66815059,56.34513228,2.9867171260000003,31.31271413,26262368,44,8.512999535,13.57499981,11,10.18,2,1.8119999999999998,4275,1.46,3833,20,40,20,20,60,60,60,20,20,40,20,20,20,20,20,40,20,20,1475429,21393,826.35,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,Very High,High,Very High
Malawi,MWI,MWI,Sub-Saharan Africa,Low income,Eastern Africa,6.4,5.8,6.2,6.1,High,59.7,4.5,43.34899902,43.93000031,59.18899965,17.17300034,46.45700073,38.89799881,0.062601908,0.082631432,3.5,389.3980332,0.801419696,23721084484.0,1310,8079173,39.00579484,-80263,43.90228591,53.45227916,2.64543493,33.50671817,18143315,13782,33.99000168,44.97000122,26,16.77,13,0.358,649,4.386,7957,20,20,20,40,20,80,80,80,20,20,40,40,60,60,20,20,20,0,9613,991755,916.86,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,High,High,High
Malaysia,MYS,MYS,East Asia & Pacific,Upper middle income,South-Eastern Asia,4.2,4.4,1.8,3.2,Low,17.5,16.7,6.315999985,12.86200047,21.78900099,31.81900024,74.48400116,55.31800079,8.551120205,20.40501543,4.74160645,11373.233,3.3345011010000003,966000000000.0,30650,15673016,134.52599469999998,249999,23.99514109,69.33310429,6.671754625,31.55169706,31528585,121302,74.19000244,75.07800293,100,6.45,19,15.357999999999999,46491,34.676,107858,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,16900,17412,26.41,4.1000000000000005,4.3,3.763636363636363,3.9454545454545453,3.75,4.3625,3.910416666666666,3.9395833333333345,Medium,Medium,Very Low
Maldives,MDV,MDV,South Asia,Upper middle income,Southern Asia,5.4,2.7,5.0,4.2,Medium,8.0,9.2,1.9400000569999998,10.13099957,19.46700072,17.69099998,76.9489975,72.17900085,10.36851168,3.63663864,6.888817196000001,10330.615609999999,2.8897308369999997,7276787489.0,14110,296608,166.36429209999997,56851,20.147916600000002,76.14873879,3.7033446060000004,0.0,515696,0,64.08799744,79.54199982,99,26.59,43,45.626999999999995,2353,64.282,3315,60,40,100,60,40,80,80,20,80,80,20,40,40,100,100,40,20,0,0,0,3.21,5.0375000000000005,5.1625,5.175,5.075,3.75,4.3625,3.910416666666666,3.9395833333333345,High,Low,High
Mali,MLI,MLI,Sub-Saharan Africa,Low income,Western Africa,6.2,6.0,6.0,6.1,High,60.6,2.4,62.912998200000004,62.34500122,80.98599815,9.395999908,31.875,28.25900078,0.633900781,1.195617995,4.899995745,899.6599081,1.7916766569999998,43023703297.0,2260,7334811,115.0846727,-200000,47.54348639,49.94928385,2.5072297580000003,30.27950091,19077690,26539,12.01099968,23.32299995,39,5.64,1,1.286,2454,3.585,5174,60,40,40,60,80,80,60,40,60,60,40,20,40,40,60,20,20,20,13150,6981,5488.41,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,High,High,High
Malta,MLT,MLT,Middle East & North Africa,High income: nonOECD,Southern Europe,4.7,3.3,3.2,3.7,Medium,6.4,8.3,0.34200000799999997,1.432000041,9.809000198,24.92200089,90.98000336,73.64600372,43.6730503,58.15325283,6.772328111,30098.283310000003,3.3427973110000004,18970477590.0,39230,234587,140.2039395,4501,14.27690052,65.37377518,20.349324300000003,0.0,484630,8579,91.97899628,81.82199859999999,100,15.64,47,28.598000000000003,1240,94.833,3772,100,100,100,60,100,60,80,100,20,20,20,40,60,60,20,80,40,20,0,0,0.0,4.500000000000001,4.6049999999999995,3.7050000000000005,4.154999999999999,,,,,Medium,Low,Low
Mauritania,MRT,MRT,Sub-Saharan Africa,Lower middle income,Western Africa,5.7,6.0,7.0,6.2,High,53.4,7.1,50.27999878,51.71400070000001,52.50300121,14.24400043,39.72499847,34.04199982,0.300273907,1.361679263,3.5542779839999996,1188.8345880000002,0.714678742,18143701631.0,4120,1248504,103.70605040000001,25002,40.08318282,56.77570502,3.1411121580000003,51.00448558,4403319,83191,31.21199989,50.88899994,48,6.01,4,1.865,821,9.252,3403,40,40,20,40,60,60,20,20,40,20,20,40,20,40,20,20,20,20,350600,33600,1549.26,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,High,High,Very High
Mauritius,MUS,MUS,Sub-Saharan Africa,Upper middle income,Eastern Africa,3.0,3.4,3.3,3.2,Low,6.5,22.0,4.993000031,6.735000134,16.171,31.12899971,79.23699951,62.13600159,21.63851371,34.27281731,3.773818913,11238.69039,3.717228566,32999567208.0,26080,611703,151.3591149,0,17.79369232,70.73213461,11.47417307,0.0,1265303,14,85.27899933,75.98999786,96,9.99,34,25.331,3210,35.152,4445,100,40,40,100,40,60,80,80,80,80,40,80,40,100,80,80,80,40,30000,0,100.0,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,3.75,4.3625,3.910416666666666,3.9395833333333345,Low,Low,Low
Mexico,MEX,MEX,Latin America & Caribbean,Upper middle income,Central America,3.9,5.2,3.0,3.9,Medium,9.8,13.5,3.4869999889999996,18.11800003,26.93200016,31.24600029,78.81800079,50.63600159,14.54862775,17.15315305,2.135958121,9673.443674,0.991932458,2440000000000.0,19340,57142356,95.23160279999999,-300000,26.55684819,66.21946683,7.223684981,21.335577100000002,126190788,16549,68.13500214,68.36900329999999,91,11.58,15,23.826999999999998,297307,23.961,302363,100,60,80,100,100,100,100,80,60,100,100,100,60,100,80,80,80,80,13124,4842,235.79,3.774074074074074,4.633333333333334,3.955555555555555,4.055555555555555,3.75,4.3625,3.910416666666666,3.9395833333333345,Medium,High,Low
Mongolia,MNG,MNG,East Asia & Pacific,Lower middle income,Eastern Asia,3.7,4.6,3.3,3.8,Medium,9.7,4.7,24.65299988,29.784000399999996,48.48599863,25.65500069,63.36899948,44.56100082,9.657070685,11.66649213,7.225848899,4121.732435,5.317252546000001,39615513066.0,12500,1331968,133.1783386,-4262,30.40956831,65.50689291,4.083538787,70.06851629,3170208,7,54.14699936,47.52600098,58,6.72,70,28.592,8739,38.938,12344,80,80,80,100,60,100,100,80,80,80,80,80,80,100,80,80,80,80,272301,2500,23.73,4.1000000000000005,4.3,3.763636363636363,3.9454545454545453,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,Medium,Medium,Low
Montenegro,MNE,MNE,Europe & Central Asia,Upper middle income,Southern Europe,2.9,2.7,4.4,3.3,Low,1.4,9.0,7.243999958,8.458000183,13.25699997,27.77099991,85.02400208,63.77099991,25.33079328,27.53703754,5.077860201,8844.236985,5.082587772,13028020426.0,20930,277659,180.69380969999997,-2400,18.20951914,66.81554422,14.97493664,0.0,622227,729,86.34700012,72.35900116,98,9.84,40,27.557,1730,52.294,3040,80,20,40,60,40,60,60,80,80,40,40,60,40,60,80,20,20,20,0,0,0.0,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.75,4.3625,3.910416666666666,3.9395833333333345,Low,Low,Medium
Morocco,MAR,MAR,Middle East & North Africa,Lower middle income,Northern Africa,4.8,4.7,3.7,4.4,Medium,14.0,7.0,53.9070015,28.68499947,47.53800011,24.61700058,33.67599869,46.69900131,4.309292493,6.103789513,2.99021417,3222.200634,1.6486305140000002,309000000000.0,8430,12067706,124.17155490000002,-257096,27.20638013,65.78071505,7.012904821,16.370474599999998,36029138,5940,39.14099884,53.16699982,89,6.03,11,7.308,26003,13.887,45326,80,80,100,60,100,80,80,80,80,80,80,60,60,80,80,80,60,80,70000,29,48.19,4.500000000000001,4.6049999999999995,3.7050000000000005,4.154999999999999,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,Medium,Medium,Medium
Mozambique,MOZ,MOZ,Sub-Saharan Africa,Low income,Eastern Africa,6.6,6.5,5.7,6.3,High,65.3,3.3,80.17099762,59.67100143,83.14599991,14.39900017,16.86599922,25.93000031,0.23780170399999997,0.213608596,3.428173661,498.95722019999994,0.458309216,42190600845.0,1430,13192926,47.71577872,-25000,44.67080015,52.43843539,2.890764457,15.40641471,29495962,4907,5.802000046,23.69300079,29,8.81,7,0.838,2473,6.847,14174,40,40,60,40,60,80,80,80,80,60,60,60,60,40,80,40,40,40,77450,2026237,4132.46,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,Very High,Very High,High
Myanmar,MMR,MMR,East Asia & Pacific,Low income,South-Eastern Asia,4.0,5.4,5.0,4.8,Medium,23.6,3.9,43.66500092,52.41199875,59.05900192,16.75900078,41.09500122,30.82799911,0.240279346,0.969799465,6.200051072000001,1325.952924,5.5558042379999995,349000000000.0,6500,24690666,113.8444919,-816564,26.37104828,67.84430978,5.784641933,31.40295394,53708395,0,37.94800186,37.92599869,64,3.59,9,6.77,36363,9.993,35947,60,60,60,60,80,100,80,60,40,60,40,60,60,80,60,40,40,80,173095,8075,4608.26,4.1000000000000005,4.3,3.763636363636363,3.9454545454545453,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,Medium,High,High
Namibia,NAM,NAM,Sub-Saharan Africa,Upper middle income,Southern Africa,5.1,5.2,5.2,5.2,High,49.3,4.5,20.37000084,23.87899971,31.0199995,24.67900085,71.84100342,51.44200134,2.531061336,6.323405496,-0.546332045,5931.453886,-2.4008197719999997,26622744602.0,10870,937065,112.7023597,-24030,36.91024919,59.45371913,3.6360316810000004,33.00484688,2448255,2400,57.29000092,68.01799774,35,13.86,27,4.1819999999999995,1024,19.54,4784,60,60,60,60,60,80,80,60,20,60,20,60,60,100,40,60,60,40,0,289644,61.5,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,3.75,4.3625,3.910416666666666,3.9395833333333345,High,High,High
Nepal,NPL,NPL,South Asia,Low income,Southern Asia,5.1,5.1,6.8,5.6,High,25.0,7.2,74.76899719,52.6590004,78.41500092,23.8579998,16.99099922,23.4829998,2.81879649,2.8451599410000004,6.657532667999999,1033.912431,4.9079469410000005,87426530266.0,3110,16885870,139.4463618,208549,30.41426532,63.8580639,5.727670776,23.982703,28087871,20808,10.71800041,32.9659996,62,11.18,3,7.486000000000001,21033,31.084,87333,40,40,60,20,40,60,40,40,40,60,40,40,40,40,20,40,20,20,1406,97395,220.52,5.0375000000000005,5.1625,5.175,5.075,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,High,High,Very High
Netherlands,NLD,NLD,Europe & Central Asia,High income: OECD,Western Europe,3.5,3.2,1.2,2.4,Low,5.2,5.4,1.241999984,2.714999914,12.65300006,24.4090004,92.57099915,72.87599945,43.416711799999995,34.58471379,2.5974536180000003,53024.05921,2.00369176,980000000000.0,56890,9247803,123.73120990000001,80000,16.10815871,64.69564866,19.19619263,7.178652856,17231624,101837,86.91300201,80.35500336,98,20.86,47,36.054,61368,111.839,186370,100,80,100,100,100,80,80,100,100,100,80,80,100,100,80,80,80,80,0,0,-25.31,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Medium,Low,Very Low
New Zealand,NZL,NZL,East Asia & Pacific,High income: OECD,Australia and New Zealand,3.1,3.3,1.4,2.4,Low,4.6,6.2,3.6530001160000003,7.474999905,12.08699977,29.02000046,87.23699951,63.50500107,34.72389862,37.10629118,2.773571015,41945.33167,0.846632297,193000000000.0,39410,2771153,134.9319679,74403,19.65343146,64.69414402,15.65242453,36.82458594,4841000,1564,85.5510025,78.70400238,100,23.36,28,35.898,17027,124.48200000000001,56356,100,80,80,100,100,80,80,80,100,100,100,80,100,100,100,100,100,100,100,23,0.0,4.1000000000000005,4.3,3.763636363636363,3.9454545454545453,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Low,Low,Very Low
